,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_2_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_3_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_4_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_5_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_6_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_7_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_8_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_9_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
execution_10_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
mean_10_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
min_10_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
max_10_case_0_patient_1,0.6460036039352417,0.3206895887851715,0.295489102602005,0.2478715181350708,0.2413831502199173,0.33308008313179016,0.33799606561660767
