,score_exp_1,score_exp_2,score_exp_3,score_exp_4,score_exp_5,score_exp_6,score_exp_7
execution_1_case_0_patient_1,0.43403565883636475,0.27228423953056335,0.44708025455474854,0.297408789396286,0.22369325160980225,0.23064406216144562,0.3262734115123749
mean_1_case_0_patient_1,0.43403565883636475,0.27228423953056335,0.44708025455474854,0.297408789396286,0.22369325160980225,0.23064406216144562,0.3262734115123749
min_1_case_0_patient_1,0.43403565883636475,0.27228423953056335,0.44708025455474854,0.297408789396286,0.22369325160980225,0.23064406216144562,0.3262734115123749
max_1_case_0_patient_1,0.43403565883636475,0.27228423953056335,0.44708025455474854,0.297408789396286,0.22369325160980225,0.23064406216144562,0.3262734115123749
