,xTrain,xVal,xTest,yTrain,yVal,yTest,x,y
total_patient,"(214, 24, 14)","(72, 24, 14)","(72, 24, 14)","(214,)","(72,)","(72,)","(358, 24, 14)","(358,)"
try_1,"(214, 24, 4)","(72, 24, 4)","(72, 24, 4)",-,-,-,-,-
try_2,"(214, 24, 4)","(72, 24, 4)","(72, 24, 4)",,,,,
try_3,"(214, 24, 4)","(72, 24, 4)","(72, 24, 4)",,,,,
try_4,"(214, 24, 5)","(72, 24, 5)","(72, 24, 5)",,,,,
try_5,"(214, 24, 5)","(72, 24, 5)","(72, 24, 5)",,,,,
try_6,"(214, 24, 5)","(72, 24, 5)","(72, 24, 5)",,,,,
try_7,"(214, 24, 5)","(72, 24, 5)","(72, 24, 5)",,,,,
